name,latitude,longitude,address,star_rating,detail_url
"Benitses Arches Hotel in Benitses, Corfu",39.5423703912258,19.914071559906006,"Corfu, Benitses",2,https://www.greeka.com/ionian/corfu/hotels/location-benitses/benitses-arches/
"Blue Dream Apartments in Velonades, Corfu",39.757331,19.719595,"Corfu, Velonades",,https://www.greeka.com/ionian/corfu/hotels/location-velonades/blue-dream/
"Century Hotel in Acharavi, Corfu",39.791715014883806,19.820865467190742,"Corfu, Acharavi",4,https://www.greeka.com/ionian/corfu/hotels/location-acharavi/century-resort/
"ABC Sweet Rooms Apartments in Sidari, Corfu",39.78643,19.72266,"Corfu, Sidari",,https://www.greeka.com/ionian/corfu/hotels/location-sidari/abc-sweet-rooms/
"Chrismos Suites in Acharavi, Corfu",39.79766687025803,19.88534577190876,"Corfu, Acharavi",,https://www.greeka.com/ionian/corfu/hotels/location-acharavi/chrismos/
"City Marina Hotel in Town, Corfu",39.626748785323954,19.920673817396164,"Corfu, Town",3,https://www.greeka.com/ionian/corfu/hotels/location-town/city-marina/
"The Pink Palace Beach Resort Rooms in Agios Gordios, Corfu",39.549448967897995,19.84862533457015,"Corfu, Agios Gordios",,https://www.greeka.com/ionian/corfu/hotels/location-agios-gordios/pink-palace/
"Debono Hotel in Gouvia, Corfu",39.64839488217711,19.843679666519165,"Corfu, Gouvia",4,https://www.greeka.com/ionian/corfu/hotels/location-gouvia/debono/
"Corfu Club Hotel in Gouvia, Corfu",39.66142589199939,19.839380085468292,"Corfu, Gouvia",3,https://www.greeka.com/ionian/corfu/hotels/location-gouvia/club/
"Luxury Villas in Barbati, Corfu",39.709460569360104,19.857495725154877,"Corfu, Barbati",,https://www.greeka.com/ionian/corfu/hotels/location-barbati/luxury-villas/
"Ibiscus Rooms in Roda, Corfu",39.796584,19.774125,"Corfu, Roda",,https://www.greeka.com/ionian/corfu/hotels/location-roda/ibiscus/
"Glyfa Villas in Barbati, Corfu",39.72422873256708,19.88397560849611,"Corfu, Barbati",,https://www.greeka.com/ionian/corfu/hotels/location-barbati/glyfa/
"Arion Hotel in Town, Corfu",39.608672,19.924821,"Corfu, Town",3,https://www.greeka.com/ionian/corfu/hotels/location-town/arion/
"Green Hill Apartments in Pelekas, Corfu",39.587488,19.818541,"Corfu, Pelekas",,https://www.greeka.com/ionian/corfu/hotels/location-pelekas/green-hill/
"Corfu Secret Hotel in Agios Markos, Corfu",39.708292,19.838095,"Corfu, Agios Markos",3,https://www.greeka.com/ionian/corfu/hotels/location-agios-markos/secret/
"Eleni Apartments in Sidari, Corfu",39.781053,19.709789,"Corfu, Sidari",,https://www.greeka.com/ionian/corfu/hotels/location-sidari/eleni-apartments/
"Dimitra Apartments in Benitses, Corfu",39.549969,19.911818,"Corfu, Benitses",,https://www.greeka.com/ionian/corfu/hotels/location-benitses/dimitra/
